instance,time_s,conflicts,timed_out,too_fast,too_few_conflicts,kept,reason
4b45bebcc3f810b25cca2d16a1ff2084-hyp_cec_multi_3.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
4b537d3c18082eb884bf9429b8146214-gaussian.c.75.smt2-cvc4.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
4db2404ba78dda6f3bc89a2b03057fd2-intel036_Iter109.cnf,300,58180,TRUE,FALSE,FALSE,TRUE,kept_timeout
4f888358cd62fe7bc602ea6882cdfc6d-bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf,300,1496156,TRUE,FALSE,FALSE,TRUE,kept_timeout
5099718e4b5b8fe2ba7f8b919fdfde2d-satcoin-genesis-SAT-5.cnf,300,25745,TRUE,FALSE,FALSE,TRUE,kept_timeout
51dd2c14736f2d9164f749d6a633ccb5-j3045_10_mdd_bm1.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
51e4929accfa3a0e68bff09974c7f0f4-SAT_MS_sat_nurikabe_p16.pddl_166.cnf,300,100,TRUE,FALSE,TRUE,FALSE,too_few_conflicts
5237a944490aeead04c7a4539e6b44d2-SC22_Timetable_C_451_E_43_Cl_30_S_27.cnf,300,87372,TRUE,FALSE,FALSE,TRUE,kept_timeout
5457c05649be6f3bc4f743c5e6086a18-mdp-28-10-sat.cnf,300,1496156,TRUE,FALSE,FALSE,TRUE,kept_timeout
54d4838f065e6ca3579b357bc70ea566-div_miter_lec_4.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
5573681b2f40d5d8b30267ac59987e40-Carry_Bits_Fast_16.cnf.cnf,300,58180,TRUE,FALSE,FALSE,TRUE,kept_timeout
55add9c1c8ad002a0faa34ecf47919a1-SC22_Timetable_C_451_E_45_Cl_30_S_27.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
5601a7e094f61f3c5af461300c25243f-summle_X111107_steps8_I1-2-2-4-4-8-25-100.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
567964f034c8ffa65952897ce4927c6c-ablmulub16x4o.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
56e7489da32260e1bdd085a418592ec2-cliquecoloring_n18_k6_c5.cnf,300,5050023,TRUE,FALSE,FALSE,TRUE,kept_timeout
5796ee4ac65929640e1b67ae2bfb9e8e-div_miter_lec_3.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
59047491e4828ed2bb79572330df6f77-mdp-32-16-unsat.cnf,300,1496156,TRUE,FALSE,FALSE,TRUE,kept_timeout
594b07c07aee036a7aca35d44e2316da-div-mitern168.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
59e596f5f845a2487370950b37ec3db2-aws-encryption-sdk-c%3Aaws_cryptosdk_enc_ctx_size.cnf,300,17096,TRUE,FALSE,FALSE,TRUE,kept_timeout
5ac44f542fd2cd4492067deb7791629a-Carry_Bits_Fast_18.cnf.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
5c54a96de5bbfbfe9152afbc8822588d-cliquecoloring_n60_k5_c4.cnf,300,997368,TRUE,FALSE,FALSE,TRUE,kept_timeout
5c5fa629c2c62723eb2d3388db264521-Wallace_Bits_Fast_3.cnf.cnf,300,87372,TRUE,FALSE,FALSE,TRUE,kept_timeout
5c6495ff589cbbcb550e1655dadbd143-worker_40_80_35_0.85.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
5cc5e3d24402696ed4ec03edfa42d663-sudoku-N30-24.cnf,300,11330,TRUE,FALSE,FALSE,TRUE,kept_timeout
5d357f1e4b5abc96c90d305f629edd5c-ps_200_323_70.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
5e04f38ff11cee5d75fb98e12f6a14fc-sqrt-mitern172.cnf,300,997368,TRUE,FALSE,FALSE,TRUE,kept_timeout
5e25f9f0d4ef05401fd9ab45a2538c1c-summle_X111117_steps8_I1-2-2-4-4-8-25-100.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
5e66b728b2445ec69f27e0f1a49f4b29-006.cnf,300,997368,TRUE,FALSE,FALSE,TRUE,kept_timeout
5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
5f24ae73bb2a0ec3bef68d8a9680f04f-af-synthesis_stb_50_80_7_unsat.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
5ff92b9fa31963608674761e0d71fce8-sv-comp19_prop-reachsafety.triangular-longer_false-unreach-call.i-witness.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
608941b989227d93c62b3a9b4280011b-summle_X8639_steps8_I1-2-2-4-4-8-25-100.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
60a0ab2650e08f32c4fff6ff09369568-eqsparcl12bpwtrc12.cnf,300,664843,TRUE,FALSE,FALSE,TRUE,kept_timeout
61175b10026fe42cadd5e2f0088684ea-6s105_Iter99.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
622787535593269d5e9a1dc4fe01c4af-atco_enc1_opt2_10_16-sc2014.cnf,300,664843,TRUE,FALSE,FALSE,TRUE,kept_timeout
65138afdf7eb054be5131f2b0de84369-satch2ways12u.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
65514d6ff224df20ba8c1aeec1698ab6-PancakeVsInsertSort_8_7.cnf,300,664843,TRUE,FALSE,FALSE,TRUE,kept_timeout
6901858f1edbe3b1d327902dab720326-reconf20_20_grid10_4_4957.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
6965d5369d3ab26daaf074303c3d1739-mp1-squ_ali_s10x10_c39_abix_SAT.cnf,300,1496156,TRUE,FALSE,FALSE,TRUE,kept_timeout
6a3e3d3a65a46608b44d81f9e4621087-6s105_Iter35.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
6b0dfcfa8cf0c0564f17ec0a5434b5b9-ITC2021_Early_4.xml.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
6b630aa05142274d965c8fc019db511e-bmc_QICE_rxrsp_vld_30.cnf,300,7486,TRUE,FALSE,FALSE,TRUE,kept_timeout
6b7e3415d7bd20be605b1f9723c43d68-Carry_Bits_Fast_5.cnf.cnf,300,58180,TRUE,FALSE,FALSE,TRUE,kept_timeout
6c34b7032712e16b08d97a0449d610e2-puzzle30_sat.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
6d815089fb4095208754622b4c44a8f7-Carry_Bits_Fast_12.cnf.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
6dd57612dab7692b8c38225bb852ce36-hwmcc15deep-6s516r-k18-sc2017.cnf,300,58180,TRUE,FALSE,FALSE,TRUE,kept_timeout
6e1b970d637fca70d08b251766edade3-Nb8T61.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
6e3015f2ce1f17e4f2b81dae06d73eec-gus-md5-11.cnf,300,25745,TRUE,FALSE,FALSE,TRUE,kept_timeout
6e3ba15d8b33f40738f7e7d7355799a5-SC22_Timetable_C_436_E_41_Cl_29_S_27.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
6f956a3f95ccaf35a3de1fe72b9cf79e-soelberg_unit_109.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
6fa8b4b7f4b059bd46913dbe741c0b94-mdp-36-11-sat.cnf,300,997368,TRUE,FALSE,FALSE,TRUE,kept_timeout
6fb0757ee018642fedd0669aad3882fe-grid-color-12-14-10-cb.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
7016d1da3fdfe543de3b95f96a9ffe4c-summle_X8651_steps8_I1-2-2-4-4-8-25-100.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
7018eff980d8183192d7a309e508b320-grid-color-14-14-10-cb.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
70289686a242c8380ca26bda45ad1278-summle_X111104_steps6_I1-2-2-4-4-8-25-100.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
7101289c67f4c4ba117ad06ebb7d18a0-6s184.cnf,300,664843,TRUE,FALSE,FALSE,TRUE,kept_timeout
